	Current Fit	Current Fit	Reference Fit	Reference Fit
	ndata	$\chi^2/ndata$	ndata	$\chi^2/ndata$
group				
DEUTERON	627	1.1762799485570978	627	1.1646498406866745
NMC	70	1.5565976708466873	70	1.552089267778147
NUCLEAR	556	0.8067099601241032	556	0.8117910057888983
HERACOMB	1018	1.1960620368366526	1018	1.1886634103770002
DYE886	89	1.4069573179391275	89	1.9980809379187972
CDF	28	1.1799613763779102	28	1.1862267992181947
D0	38	1.1455346707576686	37	1.2005301339298229
ATLAS	233	1.8069474470654239	235	1.3006565545507798
CMS	172	1.343176253423643	194	2.6840300098786054
LHCb	128	2.2030165415437026	116	2.087934933648558
