		next (Current Fit)	next (Current Fit)
		Min	Max
$\Sigma$	$\alpha$	1.116458396619027	1.1349795911900349
$\Sigma$	$\beta$	1.4677887803017617	2.881191930302565
$V$	$\alpha$	0.42336398285435695	0.6639489856517957
$V$	$\beta$	1.4191610048337915	3.2306840431518467
$T3$	$\alpha$	-0.5260796841347603	1.0567213554447736
$T3$	$\beta$	1.6960198680106005	3.2361823777449774
$V3$	$\alpha$	-0.15875304674479862	0.45550487283575225
$V3$	$\beta$	1.7194474698140063	3.2346666926412584
$T8$	$\alpha$	0.5653827662135229	0.8842417456828932
$T8$	$\beta$	1.4537932573183125	3.2863409179080723
$V8$	$\alpha$	0.3891936094312638	0.7042345398293763
$V8$	$\beta$	1.4587992760563178	3.2715892655835983
$T15$	$\alpha$	1.0775109994761491	1.1370928407614986
$T15$	$\beta$	1.159822366169221	3.0614899011997223
$g$	$\alpha$	0.9197431756398105	1.1337413810166388
$g$	$\beta$	2.1815702434721542	5.7738476035750965
